"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,0.0,-222.29501595500005,-2.8485290063860984,6823.811363937,-95.48592313431384,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.128638105,true,false,false,0.0,0.0,-0.594307195,99.88451034,2647.295015955,false,15.451265488,226.25877816799994,27.117827794336293,6823.811363937,54.547720031171124,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.135957083,true,false,false,0.0,15.451265488,2.770373579,296.54646,2423.741221832,true,222.29501595500005
false,0.0,-197.29501595500005,-3.4428362402875274,6657.159136993,-93.70235318816013,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.297700669,true,false,false,0.0,0.0,-0.594307195,99.88451034,2647.295015955,false,15.451265488,210.80751268099993,29.81747325929141,6657.159136993,53.03733733576405,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.286893874,true,false,false,0.0,15.49706969,3.148892777,296.54646,2439.192487319,true,197.29501595500005
false,0.0,-197.29501595500005,-4.037143416893176,6480.630607901,-91.93419145221621,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.393920464,true,false,false,0.0,0.0,-2.977111205,99.88451034,2647.295015955,false,15.49706969,195.3150234300001,32.834306784532245,6480.630607901,51.19435836986149,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.399438849,true,false,false,0.0,15.49706969,3.148892777,296.54646,2454.68497657,true,197.29501595500005
false,0.0,-172.29501595500005,-6.56043453515509,6292.008678544,-88.26092006650244,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.513332815,true,false,false,0.0,0.0,-2.977111205,99.88451034,2647.295015955,false,15.49706969,179.81795374000012,35.98516900363282,6292.008678544,49.19347641821278,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.518233881,true,false,false,0.0,15.49706969,3.148892777,296.54646,2470.18204626,true,172.29501595500005
false,0.0,-172.29501595500005,-9.537532749754247,6088.467770022,-84.15849085905151,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.688450126,true,false,false,0.0,-8.553826107,-2.977111205,99.88451034,2647.295015955,false,15.49706969,164.32088405100012,39.142049514117666,6088.467770022,47.161926900579694,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.705376577,true,false,false,0.0,15.49706969,3.148892777,296.54646,2485.679115949,true,172.29501595500005
false,-6.288036997,-144.49228095499984,-12.401570749626286,5870.185494281,-80.19098908705777,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.953807889,true,false,false,0.0,-23.658083078,-2.774495498,99.88451034,2644.492280955,true,15.49706969,148.82381436100013,42.29918080822945,5870.185494281,45.10825937858961,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,0.0,false,true,false,false,true,false,1200.0,true,false,false,5.0,15.49706969,3.148892777,296.54646,2501.176185639,true,144.49228095499984
false,-12.499169062,-110.39452496900003,-15.205145831181097,5637.464335339,-76.30025179938522,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,401.14542036,true,false,false,0.0,-23.658083078,-2.774495498,99.88451034,2635.394524969,true,15.49706969,108.32674467200013,45.45632247287732,5637.464335339,43.03827986276371,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,0.0,false,false,false,false,true,false,1200.0,true,false,false,4.0,15.49706969,3.148892777,296.54646,2516.673255328,true,110.39452496900003
true,-18.619882456,-95.13504524600012,-17.959332752936543,5391.079739538,-72.46917276810241,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,25.0,false,true,false,false,false,true,1200.0,true,false,false,5.0,-23.658083078,-2.524638067,99.88451034,2620.135045246,true,15.49706969,92.82967498200014,48.61346465318721,5391.079739538,40.958029849276976,false,false,true,true,false,true,false,false,false,false,false,false,false,true,false,0.0,false,false,false,false,true,false,1200.0,true,false,false,3.0,15.49706969,3.148892777,296.54646,2532.170325018,true,95.13504524600012
true,-23.658083078,-48.86786502699988,-20.575288507292303,5131.883453308,-68.78050239679935,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,25.0,false,false,false,false,false,true,1200.0,true,false,false,4.0,-23.658083078,-2.524638067,99.88451034,2598.867865027,true,15.49706969,52.33260529300014,51.770606776201305,5131.883453308,38.87360228591438,false,false,true,true,false,true,false,false,false,false,false,false,false,true,false,0.0,false,false,false,false,true,false,1200.0,true,false,false,2.0,15.49706969,3.148892777,296.54646,2547.667394707,true,48.86786502699988
true,-23.658083078,-0.20978194799999983,-23.090507280474398,4860.505504894,-65.20047232920022,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,25.0,false,false,false,false,false,true,1200.0,true,false,false,3.0,-23.658083078,-2.524638067,99.88451034,2575.209781948,true,15.49706969,11.835535603000153,54.9277489565112,4860.505504894,36.781271400021524,false,false,true,true,false,true,false,false,false,false,false,false,false,true,false,0.0,false,false,false,false,true,false,1200.0,true,false,false,1.0,15.49706969,3.148892777,296.54646,2563.164464397,true,0.20978194799999983
